Kenny Everett,1
Raymond Seitz,1
Lesley Garrett,1
Rt Hon Virginia Bottomley MP,1
Lord Palumbo,1
Paul Merton,1
Isabel Allende,1
Nicholas Hytner,1
Peter Mayle,1
Sir Leon Brittan,1
Joan Baez,1
Rt Hon Betty Boothroyd MP,1
Frank Bruno,1
Kaye Webb,1
Lord Weinstock,1
Eva Burrows,1
John Cole,1
John Boorman,1
Baroness Blackstone,1
Anton Edelmann,1
Lord Oaksey,1
Richard Gregory,1
David Croft,1
Ken Livingstone MP,1
Elijah Moshinsky,1
Sir Robin Butler,1
Anthony Storr,1
Evelyn Glennie,1
Dervla Murphy,1
Barbara Mills QC,1
Elizabeth Jennings,1
Stephen Hawking,1
Paul Smith,1
Professor Ghillean Prance,1
Carmen Callil,1
Lord Tebbit,1
John Eliot Gardiner,1
Christabel Bielenberg,1
General H Norman Schwarzkopf,1
Gavin Laird,1
Julie Andrews,2
Juliet Stevenson,1
Chad Varah,1
Raymond Blanc,1
Penelope Leach,1
Bob Geldof,1
Rt Hon David Mellor MP,1
Sir Peregrine Worsthorne,1
Mohamed Amin,1
Clare Short MP,1
Vivienne Westwood,1
Terry Waite,1
Robert Lindsay,1
Duncan Goodhew,1
Prunella Scales,1
Lord Chief Justice Taylor,1
Michael Grade,1
Will Carling,1
Marchioness Of Tavistock,1
Anthony Rolfe Johnson,1
Sir Ernst Gombrich,1
Lady Soames,1
Sir Isaiah Berlin,1
Jocelyn Stevens,1
Dr Steve Jones,1
Elvis Costello,1
Sir Roger Bannister,1
Robbie Coltrane,1
J G Ballard,1
John Major,1
Reverend David Jenkins,1
Steven Berkoff,1
Gorden Kaye,1
Sue Townsend,1
Fred Dibnah,1
Dilys Powell,2
James Lovelock,1
Lord Delfont,1
E P Thompson,1
Alan Alda,1
Elizabeth Esteve-Coll,1
John Schlesinger,2
Imran Khan,1
David Bailey,1
Klaus Tennstedt,1
John Banham,1
Bernice Rubens,1
Maxwell Hutchinson,1
Alan Bleasdale,1
Lord Shawcross,1
Ron Todd,1
John Hegarty,1
A S Byatt,1
Derek Walcott,1
Marco Pierre White,1
Rt Hon John Smith,1
John Simpson,1
Cecil Lewis,1
Dame Shirley Porter,1
Dr Jonathan Sacks,1
Lord King,1
Naomi Mitchison,1
Marti Caine,2
Sir Trevor Holdsworth,1
Jeffrey Bernard,1
Sir Denis Forman,1
Ronald Eyre,1
Dame Ninette De Valois,2
Paddy Ashdown MP,1
Professor Ralf Dahrendorf,1
Brian Eno,1
Fred Zinnemann,1
Adelaide Hall,2
Lord Goodman,1
Keith Floyd,1
Brian Keenan,1
Sir Eduardo Paolozzi,1
Baroness Trumpington,1
Elisabeth Welch,2
Rt Hon Barbara Castle,1
Lord Annan,1
Nicholas Snowman,1
Ernie Wise,1
Clive Jenkins,1
John Thaw,1
Gary Lineker,1
Barbara Windsor,2
Dr Ruth Westheimer,1
Lord Charteris,1
Robin Knox-Johnston,2
Jean Rook,1
Peter Jonas,1
Kaffe Fassett,1
George Carman QC,1
Harold Fielding,1
Maeve Binchy,1
Ken Dodd,2
Rt Hon David Blunkett MP,1
Jonathan Pryce,1
Molly Keane,1
Prue Leith,1
June Whitfield,2
Mary Wesley,1
Sir Crispin Tickell,1
Rt Hon John Biffen MP,1
Richard Rogers,1
Professor Sir George Porter,1
Sir Ian Trethowan,1
John Sessions,1
John Pilger,1
Michael Tilson Thomas,1
Sarah Miles,1
Lord Weidenfeld,1
Sir Robin Day,2
John Peel,1
Dennis Skinner,1
Dirk Bogarde,2
HRH The Duchess of Kent,1
Pauline Collins,1
Rt. Hon. Nigel Lawson,1
Lady Mosley,1
Seamus Heaney,1
Michael Codron,1
Ian Botham,1
Colin Thubron,1
Alan Plater,1
Jack Lemmon,1
Lucinda Lambton,1
John Ogdon,2
Penelope Lively,1
Eric Clapton,1
Dame Vera Lynn,2
Sir Thomas Armstrong,1
Ned Sherrin,1
Mark McCormack,1
Joan Collins,2
Maria Aitken,1
Jonathon Porritt,1
Richard Branson,1
Sir Nicholas Henderson,1
Katharine Hamnett,1
Thora Hird,2
Lenny Henry,1
Lady Redgrave,1
Miriam Rothschild,1
Lord Roy Jenkins,1
Leslie Grantham,1
Sir Stephen Spender,2
Gerald Scarfe,1
Dame Josephine Barnes,1
David Hare,1
Enoch Powell,1
Jeffrey Tate,1
Rocco Forte,1
Joan Armatrading,1
Boy George,1
Tony Benn,1
Twiggy,1
Most Rev Robert Runcie,1
Edward Heath,1
Charles Dance,1
Lady Warnock,1
Stephen Fry,1
Bob Champion,1
Bob Hoskins,1
Sir Claus Moser,1
Germaine Greer,1
Rt. Hon. Michael Foot,1
Cilla Black,2
Athene Seyler,2
Bishop Trevor Huddleston,1
Salman Rushdie,1
Peter Donohoe,1
Alfred Wainwright,1
Anita Dobson,1
Lord Dacre of Glanton (Hugh Trevor-Roper),1
Patricia Neal,1
Reverend Ian Paisley,1
Joan Turner,1
Lord Armstrong,1
Dame Edna Everage,1
David Essex,1
David Owen,1
Jeremy Isaacs,1
Gwen Ffrangcon-Davies,2
Rt. Hon. Douglas Hurd,1
Anton Mosimann,1
Rabbi Lionel Blue,1
Anita Roddick,1
Rowan Atkinson,1
Peggy Makins,1
Neil Kinnock,1
Michael Gambon,1
Mary Archer,1
Arthur Scargill,1
Jane Asher,1
Quintin Hogg,1
Brendan Foster,1
James Burke,1
Stephanie Beacham,1
Dennis Potter,2
William Davis,1
Margaret Kelly - Miss Bluebell,1
Lord Donoughue,1
Gemma Craven,1
Rt. Hon. Michael Heseltine,1
Adele Leigh,2
Lew Grade,1
Antony Sher,1
Vernon Scannell,1
Barry Cryer,1
Robert Carrier,2
Sue Lawley,1
Bamber Gascoigne,1
Bernard Levin,1
Sir James Callaghan,1
Lord Killanin,1
Lulu,1
Jacques Loussier,2
Peter West,1
Kitty Godfree,1
Lord Montagu,1
Susan George,1
Frances Edmonds,1
Maya Angelou,1
Kenneth Williams,2
Lucinda Green,1
Elaine Paige,1
Robert Maxwell,1
Frank Bough,1
Michael Bogdanov,1
Julian Critchley,1
Anthony Andrews,1
Peter Alliss,1
David Penhaligon,1
Dora Bryan,2
Johnny Mathis,1
Sir Nicholas Goodison,1
Ken Russell,1
Sir Michael Hordern,2
Peter Fluck &amp; Roger Law,1
Baroness (Sue) Ryder of Warsaw,1
Jeremy Lloyd,1
James Prior,2
Tony Bennett,2
Benny Green,1
Jackie Collins,1
Nigel Hawthorne,1
Captain John Ridgway,1
Hal Prince,1
Kingsley Amis,2
Albert &amp; Michel Roux,1
Phil Edmonds,1
Sir Fred Hoyle,2
Sir Ian MacGregor,1
Richard Condon,1
Suzi Quatro,1
James Herbert,1
Andrew Davis,1
Auberon Waugh,1
Stan Barstow,2
Jane Lapotaire,1
Virginia Holgate,1
Norman Lewis,1
Roger Vadim,1
Sir Geoffrey Howe,1
Sir David Wilson,1
Brian Redhead,1
Anne-Sophie Mutter,1
Jackie Stewart,1
Max Hastings,1
Ismail Merchant,1
Elton John,1
Arthur Hailey,1
Jane Glover,1
Ron Pickering,1
John Dankworth,2
Selina Scott,1
Ben Kingsley,1
Bruce Oldfield,1
Dennis Taylor,1
Roy Hattersley,1
Maureen Lipman,1
Nigel Kennedy,1
Sheila Steafel,1
Rt Hon David Steel MP,1
Robert Burchfield,1
Joseph Allen,1
Doris Stokes,1
Jimmy Savile,1
Richard Eyre,1
Gordon Beningfield,1
Alison Lurie,1
Jorge Bolet,1
Anthony Hopkins,1
Michael Elkins,1
Elly Ameling,1
Julie Walters,1
Madhur Jaffrey,1
John Harvey-Jones,1
Tom Stoppard,1
Sir Michael Tippett,2
Ray Cooney,1
Sir John Burgh,1
Miklos Rozsa,1
Robin Hanbury-Tenison,1
David Puttnam,1
Vernon Handley,1
Tom Sharpe,1
David Rendall,1
Jonathan Lynn,1
Michael Ffolkes,1
John Surman,1
John Hurt,1
Alfred Eisenstadt,1
Gerry Cottle,1
Catherine Cookson,1
George Abbott,1
Ved Mehta,1
Willie Rushton,1
Ron Goodwin,1
Gayatri Devi,1
Sir Alfred Ayer,1
Natalia Makarova,1
Vlado Perlemuter,1
Lord Rothschild,1
Zubin Mehta,1
Hugh Johnson,1
Rosalind Plowright,1
Leo McKern,1
David Lodge,1
Lucy Irvine,1
Christopher Reeve,1
Paul Tortelier,2
'Honest' Ed Mirvish,1
Michael Quinn,1
Don McCullin,1
Gerald Priestland,1
Michael York,1
Woody Herman,1
Lord Elwyn-Jones,1
Stubby Kaye,1
HRH Princess Michael of Kent,1
David Gower,1
Bertice Reading,1
M M Kaye,1
James Stewart,2
John Piper,2
Marvin Hamlisch,1
Sir Hugh Greene,1
Sir Peter Hall,2
Shirley MacLaine,1
Linda Esther Gray,1
Topol,1
Mollie Harris,1
Rosemary Sutcliff,1
Ian Richardson,1
Lionel Hampton,1
Charlotte Lamb,1
Paul Jones,1
Cindy Buxton &amp; Annie Price,1
Malcolm Bradbury,1
Peter Bull,1
Sir Frederick Gibberd,1
Keith Waterhouse,1
John Gunter,1
Sir John Pritchard,1
Julian Bream,2
Terry Jones,1
Fleur Cowles,1
Sir Peter Pears,2
Sir Alan King-Hamilton,1
Arthur English,1
A N Wilson,1
Max Boyce,1
Geoffrey Moorhouse,1
Ruggiero Ricci,1
James Fox,1
Michael Wood,1
Douglas Reeman,1
Kenneth Macmillan,1
Tom Keating,1
James Ivory,1
Zandra Rhodes,1
Beryl Reid,2
Tim Severin,1
Gwyneth Jones,1
Baroness Maria Von Trapp,1
Steve Davis,1
Rachel Billington,1
Mary Ellis,2
Gyorgy Ligeti,1
Alan Price,1
Helen Mirren,1
Rosamond Lehmann,1
Rt Hon. George Thomas,1
Mike Harding,1
Geoffrey Grigson,1
"N.Busch, J.Kuchmy, M.Parry, M.Wilson",1
David Lloyd Jones,1
Wilbur Smith,1
Carlo Curley,1
James Loughran,1
Claire Bloom,2
Duke &amp; Duchess of Devonshire,1
Carl Davis,1
Donald Sinden,2
Dame Janet Baker,2
Lyall Watson,1
Pamela Stephenson,1
Captain Jacques Cousteau,1
Eric Newby,1
Sir Anton Dolin,2
Delia Smith,1
Desmond Hawkins,1
Marti Webb,1
Julian Symons,1
Lucia Popp,1
Jenny Agutter,1
Dorothy Dunnett,1
Julia McKenzie,1
Richard Armstrong,1
Sir William Walton,2
Lord Bernard Miles,2
George Chisholm,2
Dame Eva Turner,2
John Osborne,2
Sir Christopher Leaver,1
Professor J K Galbraith,1
Paul McCartney,1
Frankie Howerd,2
Angela Rippon,1
Martin Gilbert,1
Trevor Brooking,1
Earl of Harewood,2
Helene Hanff,1
Alan Howard,1
Sir Douglas Bader,1
Diana Dors,2
James Clavell,1
Professor Glyn Daniel,1
Patrick Lichfield,1
Joseph Cotten,1
Elspeth Huxley,1
Montserrat Caballe,1
Beaux Arts Trio,1
James Mason,2
