303,Dr Jacob Bronowski,The Ascent Of Man
304,Keith Floyd,Floyd On Fish
305,Sir Winston Churchill,The Second World War
306,Elizabeth David,French Provincial Cooking
307,Swami Muktananda,Where Are You Going?
308,Jack Higgins,The Eagle Has Landed
309,James Kavanaugh,Will You Be My Friend?
310,Charles Dickens,The Complete Works
311,Wilfred Owen,Autobiography
312,F. Scott Fitzgerald,The Great Gatsby
313,Ayn Rand,Atlas Shrugged
314,Virginia Woolf,Letters
315,Sam Shepard,Hawk Moon
316,Jane Austen,The Collected Works
317,"",Dictionary
318,"",The Complete Andy Capp
319,"",The Oxford Book Of English Verse
320,Paul Verlaine,Poetry
321,John Fowles,The Magus
322,"",Her Own Autobiography
323,Aleksandr Pushkin,Poetry
324,William Wordsworth,The Collected Works
325,Anthony Burgess,Language Made Plain
326,Herodotus,Histories
327,Rudyard Kipling,Indian Tales
328,"",Hexalingual Thesaurus
329,Anthony Wood,The Five-volume Works
330,Rudyard Kipling,Kim
331,"",Blank Paper
332,Mrs Beeton,Household Management
333,Kathleen Winsor,Forever Amber
334,"",The World Encyclopaedia Of Cookery
335,"",True Funny Stories In German
336,Leo Tolstoy,Anna Karenina
337,"",The Bhagavad-gita
338,Marquise De Sevigne,Letters
339,Hector Berlioz,Books
340,Hugh Johnson,Cookery Book
341,Jane Austen,Persuasion
342,Dama Pada,Buddhist Scripture
343,Saint Therese Of Lisieux,Autobiography
344,"",Illustrated Dictionary
345,Arthur Quiller-couch,The Oxford Book Of English Verse
346,Edward Gibbon,The History Of The Decline And Fall Of The Roman Empire
347,Moss Hart,Act One
348,Dante Alighieri,Inferno
349,Louis De Rouvroy,Memoirs
350,Diana Dors,Autobiography
351,P G Wodehouse,Novels
352,Virginia Woolf,Diaries
353,"",French Language Course
354,George Kelly,Plays
355,"",Dictionary Of Quotations
356,Johann Wolfgang Goethe,Collected Works
357,William Durant,The Story Of Civilization
358,Rosamond Lehmann,The Weather In The Streets
359,Dante Alighieri,Divine Comedy
360,Barbara Woodhouse,Talking To Animals
361,E E Cummings,Poetry
362,"",The Salvation Army Songbook
363,"",Survival Manual
364,"",Italian Touring Atlas Of The World
365,Hermann Hesse,Siddhartha
366,Simone De Beauvoir,The Second Sex
367,Thomas Hardy,Jude The Obscure
368,Frederick Forsyth,The Day Of The Jackal
369,Neville Williams,The Penguin Chronology Of The Modern World
370,"",Book About Growing Flowers And Vegetables On A Desert Island
371,"",History Of The Whole World
372,John Cheever,Collected Short Stories
373,Antoine De Saint-exupery,The Little Prince
374,"",Single-volume Encyclopaedia
375,Kenneth Clark,Civilisation
376,Malford,The Nonsense Of Dying
377,Geoffrey Grigson,Notes From An Odd Country
378,Queen Victoria,Letters
379,Raine Maria Rilke,Poetry In Spanish German
380,Agnes Smedley,Daughter Of The Earth
381,George Bernard Shaw,Plays And Prefaces
382,"",Guide To Boat Building
383,Compton Mackenzie,The Four Winds Of Love
384,Rose Macaulay,Orphan Island
385,B K S Iyengar,Light On Yoga
386,"",Volume On Physics
387,James Woodforde,The Diary Of A Country Parson 1758-1802
388,Margaret Mitchell,Gone With The Wind (in Italian)
389,A.a. Milne,Now We Are Six
390,A.a. Milne,When We Were Very Young
391,"",Thick Blank Book And A Pen
