109,Emmylou Harris,http://en.wikipedia.org/wiki/Emmy_Lou_Harris,BBC,female,MusicPop and Rock
110,Pat Barker,http://en.wikipedia.org/wiki/Pat_Barker,BBC,female,WritingPrizewinner or Record BreakerNovelist
111,Nigella Lawson,http://en.wikipedia.org/wiki/Nigella_Lawson,BBC,female,"WritingStage, Screen and RadioFood and DrinkFood and Drink WritingBroadcasting"
112,Barbara Taylor Bradford,http://en.wikipedia.org/wiki/Barbara_Taylor_Bradford,BBC,female,WritingNovelist
113,Meera Syal,http://en.wikipedia.org/wiki/Meera_Syal,BBC,female,"Stage, Screen and RadioWritingActor"
114,Margaret Atwood,http://en.wikipedia.org/wiki/Margaret_Atwood,BBC,female,WritingPrizewinner or Record Breaker
115,Kristin Scott Thomas,http://en.wikipedia.org/wiki/Kristin_Scott_Thomas,BBC,female,"Stage, Screen and RadioActor"
116,Cornelia Parker,http://en.wikipedia.org/wiki/Cornelia_Parker,BBC,female,"Art, Fashion and DesignArt"
117,Gillian Anderson,http://en.wikipedia.org/wiki/Gillian_Anderson,BBC,female,"Stage, Screen and RadioActor"
118,Patricia Cornwell,http://en.wikipedia.org/wiki/Patricia_Cornwell,BBC,female,WritingCrime Writing
119,Sinead Cusack,http://en.wikipedia.org/wiki/Sin%C3%A9ad_Cusack,BBC,female,"Stage, Screen and RadioActor"
120,Marguerite Wolff,NA,Not found,female,MusicClassical MusicPianist
121,P D James,http://en.wikipedia.org/wiki/P._D._James,BBC,female,WritingCrime Writing
122,Dame Alicia Markova,http://en.wikipedia.org/wiki/Alicia_Markova,BBC,female,"Stage, Screen and RadioDance"
123,Minette Walters,http://en.wikipedia.org/wiki/Minette_Walters,BBC,female,WritingCrime Writing
124,Countess Elizabeth Longford,"http://en.wikipedia.org/wiki/Elizabeth_Pakenham,_Countess_of_Longford",BBC,female,WritingAcademia and Education
125,Jan Morris,http://en.wikipedia.org/wiki/Jan_Morris,BBC,female,Writing
126,Sue Johnston,http://en.wikipedia.org/wiki/Sue_Johnston,BBC,female,"Stage, Screen and RadioActor"
127,Jude Kelly,http://en.wikipedia.org/wiki/Jude_Kelly,BBC,female,"Stage, Screen and RadioDirectorTheatre"
128,Betty Jackson,http://en.wikipedia.org/wiki/Betty_Jackson,BBC,female,"Art, Fashion and DesignFashion"
129,Fiona Reynolds,http://en.wikipedia.org/wiki/Fiona_Reynolds,BBC,female,Politics and Public ServiceCampaigner
130,Dorothy Rowe,http://en.wikipedia.org/wiki/Dorothy_Rowe,BBC,female,"Medicine, Science and EngineeringWritingScienceMedicine"
131,Fay Godwin,http://en.wikipedia.org/wiki/Fay_Godwin,BBC,female,"Art, Fashion and DesignPhotography"
132,Dame Beryl Grey,http://en.wikipedia.org/wiki/Dame_Beryl_Greyhttp://en.wikipedia.org/wiki/Beryl_Grey,BBC,female,"Stage, Screen and RadioDance"
133,Sue MacGregor,http://en.wikipedia.org/wiki/Sue_MacGregor,BBC,female,"Stage, Screen and RadioBroadcasting"
134,Phyllis Sellick,http://en.wikipedia.org/wiki/Phyllis_Sellick,BBC,female,MusicClassical Music
135,Susana Walton,http://en.wikipedia.org/wiki/Susana_Walton,BBC,female,Nature and ConservationGardening
136,Anne Fine,http://en.wikipedia.org/wiki/Anne_Fine,BBC,female,WritingChildren's Books
137,Claudia Roden,http://en.wikipedia.org/wiki/Claudia_Roden,BBC,female,WritingFood and DrinkFood and Drink Writing
138,Peggy Seeger,http://en.wikipedia.org/wiki/Peggy_Seeger,BBC,female,MusicFolk Music
139,Margaret Drabble,http://en.wikipedia.org/wiki/Margaret_Drabble,BBC,female,Writing
140,Tasmin Little,http://en.wikipedia.org/wiki/Tasmin_Little,BBC,female,MusicClassical MusicString Player
141,Tanni Grey Thompson,"http://en.wikipedia.org/wiki/Tanni_Grey-Thompson,_Baroness_Grey-Thompson",BBC,female,SportPrizewinner or Record Breaker
142,Shirley Hughes,http://en.wikipedia.org/wiki/Shirley_Hughes,BBC,female,"WritingArt, Fashion and DesignChildren's BooksArt"
143,Marguerite Patten,http://en.wikipedia.org/wiki/Marguerite_Patten,BBC,female,WritingFood and DrinkFood and Drink Writing
