166,Johann Sebastian Bach,Concerto For Two Violins In D Minor,Artist: The German Bach Soloists Led By Helmut Winschermann
167,Thomas Tallis,Spem In Alium,Artist: The Sixteen
168,Bette Midler,Is That All There Is?,Composer: Leiber And Stoller
169,Jonathan Darlene Edwards,Tiptoe Through The Tulips,Composer: Burke/dubin
170,Jimmy Shand,Mrs Cholmondeley's Reel,Composer: Trad
171,Wynonna,I'm So Lonesome I Could Cry,"Composer: Hank Williams, Sr."
172,Fritz Kreisler,Schon Rosmarin,Artist: Fritz Kreisler With The Victor Symphony Orchestra
173,Barbara Windsor,It's Nicer In Nice,Composer: Leslie Bricusse
174,Giacomo Puccini,Tosca Act 2 (finale),Artist: Maria Callas Tito Gobbi With The Paris Conservatoire Orchestra Conducted By Georges Pretre.
175,"The Royal Artillery Orchestra Conducted By Major Frank Renton, Ra.",March Of The Toys,Composer: Victor Herbert Arr. F .a Renton
176,Oscar Hammerstein Ii,I'll Take Romance,Artist: Betty Driver Composer: Hammerstein/oakland
177,Pyotr Ilyich Tchaikovsky,Piano Concerto No. 1 In B Flat Minor,Artist: Stephen Hough With The Minnesota Orchestra Conducted By Osmo Vanska
178,Ella Fitzgerald,Night And Day,Composer: Cole Porter
179,Johann Strauss Ii,Thunder And Lightning Polka,Artist: Sir Harry Mortimer (with The G.u.s. (footwear) Band
180,Winifred Atwell,Black And White Rag,Composer: Botsford
181,Pyotr Ilyich Tchaikovsky,The Overture To Swan Lake,Artist: Leonard Slatkin Conducting The St Louis Symphony Orchestra
182,Hoagy Carmichael,Skylark,Composer: Carmichael/ Mercer
183,Johannes Brahms,The Adagio From The Cello Sonata No.2 In F Major.,Artist: Steven Isserlis
184,Sandie Shaw,Coconut Grove,"Composer: Sebasian, Yanovsky"
185,The Shangri-las,Remember (walkin' In The Sand),Composer: Moreton
186,Guy Mitchell,She Wears Red Feathers And A Huly Huly Skirt,Composer: Bob Merrill
187,Georgie Fame,Barefootin',Composer: Robert Parker
188,The Beach Boys,Good Vibrations,Composer: Wilson/love
189,Sandie Shaw (with Herbie Flowers Roger Cook),Bananas,Composer:
190,The Beatles,Here Comes The Sun,Composer: George Harrison
191,Nuns And Monks Of The Temple,Diamond Sutra,Composer: Trad. Buddhist Text Produced In China In Ad 868
192,Georges Brassens,Ballade Des Dames Du Temps De Jadis,Composer: G Brassens
193,Paco Ibanez,Mi Nina Se Fue A La Mare - My Girl Went Off To The Sea,Composer: Frederico Garcia Lorca
194,The Beatles,Penny Lane,Composer: Lennon/mccartney
195,Piano Red,Right String Baby But The Wrong Yo-yo,Composer: Finnell
196,Unknown,Chinese Exercise Music,Composer: Unknown
197,Tom Lehrer,Wernher Von Braun,Composer: Tom Lehrer
198,Giuseppe Verdi,Ella Giammai M'amo (from Don Carlos),Artist: Nicolai Ghiaurov (with The Berlin Philharmonic Conducted By Herbert Von Karajan
199,Fabrizio De Andre,Bocca Di Rosa,Composer: Fabrizio De Andre
200,Giuseppe Verdi,The Overture To The Third Act Of Verdi's La Traviata,"Artist: Arturo Toscanini - Conducting The Orchestra Of La Scala, Milan"
