378;"Raine Maria Rilke";"Poetry In Spanish German"
379;"Agnes Smedley";"Daughter Of The Earth"
380;"George Bernard Shaw";"Plays And Prefaces"
381;;"Guide To Boat Building"
382;"Compton Mackenzie";"The Four Winds Of Love"
383;"Rose Macaulay";"Orphan Island"
384;"B K S Iyengar";"Light On Yoga"
385;;"Volume On Physics"
386;"James Woodforde";"The Diary Of A Country Parson 1758-1802"
388;"A.a. Milne";"Now We Are Six"
389;"A.a. Milne";"When We Were Very Young"
390;;"Thick Blank Book And A Pen"
391;"Mary Strong";"Letters Of The Scattered Brotherhood"
392;"Emmet Fox";"Around The Year With Emmet Fox"
393;"Roget";"Thesaurus"
394;"Henry W Fowler";"Fowler's Modern English Usage"
395;"Frank Herbert";"Dune"
396;"Victor Sperandeo";"Pacific Cookbook"
397;"Enid Bagnold";"Autobiography"
398;;"A Great Tome On The Law"
399;"Sigrid Undset";"Kristin Lauransdatter"
401;"Anthony Trollope";"Novels"
402;;"Astronomy Book"
403;"Charles Kidd";"Debrett's Peerage"
404;"Albert Camus";"Collected Stories"
405;"Countess Elizabeth Longford";"Victoria Ri"
406;"Charles Dickens";"The Pickwick Papers"
407;"H G Wells";"The Outline Of History"
408;"Charles Schulz";"Snoopy Dog"
409;"Dr Thor Heyerdahl";"The Kon-tiki Expedition"
410;;"Volume On Animal Communication"
411;"Charles Dickens";"The Collected Works"
412;"Johann Wolfgang Goethe";"Faust"
413;"Mildred Newman";"How To Be Your Own Best Friend"
414;"Christopher Isherwood";"Bhagavad-gita"
415;"Jean Plaidy";"Novels"
416;"Carl Giles";"Book Of Cartoons"
417;"Michel De Montaigne";"The Collected Works"
418;;"Volume Of Colour Reproductions Of Paintings"
419;"Rev Francis Kilvert";"Reverend Francis Kilvert, Diary 1870-1879"
420;;"Cookery Book"
421;"Julia Trevelyan Oman";"Elizabeth R"
422;;"Illustrated Herbal"
423;"Sir Keith Feiling";"History Of England"
424;"James Mitchener";"Novels"
425;;"Volumes On Astronomy And Astrology"
426;"Mary Baker Eddy";"Science And Health, With A Key To The Scriptures"
427;;"Cookery Encyclopaedia"
428;"Mario Puzo";"The Godfather"
429;"Ernest Holmes";"The Science Of Mind"
430;;"Primary Instruction In All Languages"
431;;"Law Study Course"
432;"Leo Slezak";"Works"
433;"Penelope Mortimer";"The Pumpkin Eater"
434;;"Illustrated Book On Gardening"
435;"George Bernard Shaw";"The Collected Works"
437;"Louise Saunders";"The Knave Of Hearts"
438;"Anatole France";"Le Crime De Sylvestre Bonnard"
439;"James Thurber";"The Thurber Carnival"
440;;"Anthology Of English Verse"
441;"Cornelia Otis Skinner";"Our Hearts Were Young And Gay"
442;"Pyotr Ilyich Tchaikovsky";"The Scores Of The Symphonies"
444;;"Herr, Hier Bin Ich (prayers Of Life)"
445;"Beatrix Potter";"Works"
446;"D'arcy Thompson";"Growth And Form"
447;;"Book On Desert Island Cookery"
448;"Alice Bailey";"White Magic"
450;"Anton Chekhov";"Three Sisters"
451;;"Volumes Of Her Autobiography"
452;"Robert Stroud";"The Birdman Of Alcatraz"
453;;"Enquire Within Upon Everything"
454;;"Larousse Gastronomique"
455;"Lord A P Wavell";"Other Men's Flowers"
456;;"Anglo-french Dictionary"
